token_budget,top_k,candidate_k,memory_count,forgetting_threshold,run_count,query_count,memory_retrieval_accuracy,answer_accuracy,response_correctness,stale_retrieval_rate,relevant_loss_rate,stale_retrieval_case_rate,mean_retrieval_latency_ms,p95_retrieval_latency_ms,mean_selected_token_proxy,mean_token_budget_used_ratio,mean_selected_memory_count,mean_estimated_memory_storage_bytes,max_estimated_memory_storage_bytes,mean_estimated_faiss_index_bytes,max_faiss_index_size,mean_retrieval_rss_peak_bytes,max_retrieval_rss_peak_bytes,rss_available,token_metric
64,5,10,1000,0.3,9,3,0.0,0.5,0.5,0.0,1.0,0.0,0.4634888888888889,0.49651999999999996,51.0,0.796875,3.0,148743.0,148743,128000.0,1000,74653696.0,75509760,True,deterministic_proxy_not_real_tokenizer
64,5,10,2000,0.3,9,3,0.0,0.5,0.5,0.0,1.0,0.0,0.4557333333333334,0.56214,51.0,0.796875,3.0,297473.0,297473,256000.0,2000,79885653.33333333,80822272,True,deterministic_proxy_not_real_tokenizer
64,5,20,100,0.3,9,3,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.0,0.5917777777777778,0.63424,55.333333333333336,0.8645833333333334,3.3333333333333335,14885.0,14885,12800.0,100,69421283.55555555,69767168,True,deterministic_proxy_not_real_tokenizer
64,5,20,500,0.3,9,3,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6306777777777778,0.83172,55.333333333333336,0.8645833333333334,3.3333333333333335,74378.0,74378,64000.0,500,71896632.8888889,72777728,True,deterministic_proxy_not_real_tokenizer
64,5,20,1000,0.3,9,3,0.0,0.5,0.5,0.0,1.0,0.0,0.7034888888888889,0.9872399999999998,51.0,0.796875,3.0,148743.0,148743,128000.0,1000,74742442.66666667,75509760,True,deterministic_proxy_not_real_tokenizer
64,5,20,2000,0.3,9,3,0.0,0.5,0.5,0.0,1.0,0.0,0.6825222222222221,0.77366,51.0,0.796875,3.0,297473.0,297473,256000.0,2000,79885653.33333333,80822272,True,deterministic_proxy_not_real_tokenizer
128,1,5,100,0.3,9,3,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.0,0.2643333333333333,0.2844,15.666666666666666,0.12239583333333333,1.0,14885.0,14885,12800.0,100,69255168.0,69754880,True,deterministic_proxy_not_real_tokenizer
128,1,5,500,0.3,9,3,0.0,0.5,0.5,0.0,1.0,0.0,0.26672222222222225,0.2862,17.0,0.1328125,1.0,74378.0,74378,64000.0,500,71771477.33333333,72765440,True,deterministic_proxy_not_real_tokenizer
128,1,5,1000,0.3,9,3,0.0,0.5,0.5,0.0,1.0,0.0,0.28823333333333334,0.31723999999999997,17.0,0.1328125,1.0,148743.0,148743,128000.0,1000,74652785.77777778,75509760,True,deterministic_proxy_not_real_tokenizer
128,1,5,2000,0.3,9,3,0.0,0.5,0.5,0.0,1.0,0.0,0.37545555555555554,0.4668,17.0,0.1328125,1.0,297473.0,297473,256000.0,2000,79882922.66666667,80826368,True,deterministic_proxy_not_real_tokenizer
