run_id,repeat_index,query_id,token_budget,top_k,candidate_k,memory_count,forgetting_threshold,seed,embedding_backend,embedding_dim,current_time,retrieval_latency_ms,selected_token_proxy,selected_memory_count,retrieved_count_before_budget,candidate_count_before_forgetting,candidate_count_after_forgetting,memory_retrieval_accuracy,answer_accuracy,response_correctness,stale_retrieval_rate,relevant_loss_rate,stale_retrieval_case_rate,token_budget_used_ratio,estimated_memory_storage_bytes,estimated_faiss_index_bytes,faiss_index_size,retrieval_rss_before_bytes,retrieval_rss_peak_bytes,retrieval_rss_delta_bytes,token_metric,selected_memory_ids,local_only,cloud_api_used,llm_called
budget_sweep_20260716,0,q_book,512,1,20,100,0.3,42,hash,32,2026-07-10 10:00,0.4569,17,1,1,20,20,0.0,1.0,1.0,0.0,1.0,0.0,0.033203125,14885,12800,100,67231744,67231744,0,deterministic_proxy_not_real_tokenizer,"[""39a02bac3fdeec9c""]",True,False,False
budget_sweep_20260716,0,q_food,512,1,20,100,0.3,42,hash,32,2026-07-10 10:00,0.4505,13,1,1,20,20,1.0,1.0,1.0,0.0,0.0,0.0,0.025390625,14885,12800,100,67231744,67231744,0,deterministic_proxy_not_real_tokenizer,"[""e0e651503c182443""]",True,False,False
budget_sweep_20260716,0,q_hobby,512,1,20,100,0.3,42,hash,32,2026-07-10 10:00,0.4559,17,1,1,20,20,0.0,0.0,0.0,0.0,1.0,0.0,0.033203125,14885,12800,100,67231744,67231744,0,deterministic_proxy_not_real_tokenizer,"[""478262c489e87c89""]",True,False,False
budget_sweep_20260716,0,q_book,64,3,5,100,0.3,42,hash,32,2026-07-10 10:00,0.3193,51,3,3,5,5,0.0,1.0,1.0,0.0,1.0,0.0,0.796875,14885,12800,100,67231744,67231744,0,deterministic_proxy_not_real_tokenizer,"[""39a02bac3fdeec9c"", ""e562af408b212815"", ""8729f9b129bb28b4""]",True,False,False
budget_sweep_20260716,0,q_food,64,3,5,100,0.3,42,hash,32,2026-07-10 10:00,0.3032,47,3,3,5,5,1.0,1.0,1.0,0.0,0.0,0.0,0.734375,14885,12800,100,67235840,67235840,0,deterministic_proxy_not_real_tokenizer,"[""e0e651503c182443"", ""8bb974bb15c654f6"", ""6a38da3116fe7d91""]",True,False,False
budget_sweep_20260716,0,q_hobby,64,3,5,100,0.3,42,hash,32,2026-07-10 10:00,0.2339,51,3,3,5,5,0.0,0.0,0.0,0.0,1.0,0.0,0.796875,14885,12800,100,67235840,67235840,0,deterministic_proxy_not_real_tokenizer,"[""478262c489e87c89"", ""f0c1e8ff8613781b"", ""07f22995aded7a22""]",True,False,False
budget_sweep_20260716,0,q_book,128,3,5,100,0.3,42,hash,32,2026-07-10 10:00,0.2251,51,3,3,5,5,0.0,1.0,1.0,0.0,1.0,0.0,0.3984375,14885,12800,100,67235840,67235840,0,deterministic_proxy_not_real_tokenizer,"[""39a02bac3fdeec9c"", ""e562af408b212815"", ""8729f9b129bb28b4""]",True,False,False
budget_sweep_20260716,0,q_food,128,3,5,100,0.3,42,hash,32,2026-07-10 10:00,0.3031,47,3,3,5,5,1.0,1.0,1.0,0.0,0.0,0.0,0.3671875,14885,12800,100,67235840,67235840,0,deterministic_proxy_not_real_tokenizer,"[""e0e651503c182443"", ""8bb974bb15c654f6"", ""6a38da3116fe7d91""]",True,False,False
budget_sweep_20260716,0,q_hobby,128,3,5,100,0.3,42,hash,32,2026-07-10 10:00,0.2623,51,3,3,5,5,0.0,0.0,0.0,0.0,1.0,0.0,0.3984375,14885,12800,100,67235840,67235840,0,deterministic_proxy_not_real_tokenizer,"[""478262c489e87c89"", ""f0c1e8ff8613781b"", ""07f22995aded7a22""]",True,False,False
budget_sweep_20260716,0,q_book,256,3,5,100,0.3,42,hash,32,2026-07-10 10:00,0.2167,51,3,3,5,5,0.0,1.0,1.0,0.0,1.0,0.0,0.19921875,14885,12800,100,67235840,67235840,0,deterministic_proxy_not_real_tokenizer,"[""39a02bac3fdeec9c"", ""e562af408b212815"", ""8729f9b129bb28b4""]",True,False,False
